"Time (ms)","Recording (a.u.)"
9.229516270E0,-4.786683619E-2
9.250350392E0,-5.856966972E-2
9.271184515E0,-6.929273158E-2
9.292018637E0,-8.028117567E-2
9.312852760E0,-9.240802377E-2
9.333686882E0,-1.039083898E-1
9.354521005E0,-1.134078205E-1
9.375355127E0,-1.209171861E-1
9.396189250E0,-1.263645589E-1
9.417023372E0,-1.307033896E-1
9.437857495E0,-1.360370070E-1
9.458691617E0,-1.414031982E-1
9.479525740E0,-1.455900222E-1
9.500359862E0,-1.501806378E-1
9.521193985E0,-1.522762179E-1
9.542028107E0,-1.496534348E-1
9.562862230E0,-1.452342868E-1
9.583696352E0,-1.388880759E-1
9.604530475E0,-1.312974691E-1
9.625364597E0,-1.237951145E-1
9.646198720E0,-1.163321882E-1
9.667032842E0,-1.091796681E-1
9.687866965E0,-9.974716604E-2
9.708701087E0,-8.580987155E-2
9.729535210E0,-6.586402655E-2
9.750369332E0,-4.246298224E-2
9.771203455E0,-1.860359684E-2
9.792037577E0,4.387389868E-3
9.812871700E0,2.135300450E-2
9.833705822E0,3.445005044E-2
9.854539945E0,4.715234414E-2
9.875374067E0,5.969634652E-2
9.896208190E0,7.504048198E-2
9.917042312E0,9.133915603E-2
9.937876435E0,1.061991155E-1
9.958710557E0,1.185516119E-1
9.979544680E0,1.273896992E-1
1.000037880E1,1.340059042E-1
1.002121292E1,1.393121183E-1
1.004204705E1,1.447334737E-1
1.006288117E1,1.510291994E-1
1.008371529E1,1.591285169E-1
1.010454941E1,1.681903899E-1
1.012538354E1,1.749524474E-1
1.014621766E1,1.799708307E-1
1.016705178E1,1.810613722E-1
1.018788590E1,1.749300063E-1
1.020872003E1,1.647161394E-1
1.022955415E1,1.520130634E-1
1.025038827E1,1.389022171E-1
1.027122239E1,1.281211078E-1
1.029205652E1,1.180281937E-1
1.031289064E1,1.083960906E-1
1.033372476E1,9.912151098E-2
1.035455888E1,8.818842471E-2
1.037539301E1,7.450751215E-2
1.039622713E1,6.045373902E-2
1.041706125E1,4.810216278E-2
1.043789537E1,3.652173281E-2
1.045872950E1,2.803662792E-2
1.047956362E1,2.251201123E-2
1.050039774E1,1.830094680E-2
1.052123186E1,1.572177932E-2
1.054206599E1,1.202481240E-2
1.056290011E1,7.071269210E-3
1.058373423E1,1.595165115E-3
1.060456835E1,-3.917245194E-3
1.062540248E1,-8.032102138E-3
1.064623660E1,-1.022046618E-2
1.066707072E1,-1.008442044E-2
1.068790484E1,-8.671212010E-3
1.070873897E1,-7.029206492E-3
1.072957309E1,-9.150730446E-3
1.075040721E1,-1.485425048E-2
1.077124133E1,-2.082431503E-2
1.079207546E1,-2.876726352E-2
1.081290958E1,-3.615886718E-2
1.083374370E1,-4.183747619E-2
1.085457782E1,-4.611917958E-2
1.087541195E1,-4.957778752E-2
1.089624607E1,-5.525840446E-2
1.091708019E1,-6.269738078E-2
1.093791431E1,-7.234896719E-2
1.095874844E1,-8.202933520E-2
1.097958256E1,-9.127595276E-2
1.100041668E1,-9.934306145E-2
1.102125080E1,-1.030268520E-1
1.104208493E1,-1.054877117E-1
1.106291905E1,-1.061251760E-1
1.108375317E1,-1.071995497E-1
1.110458729E1,-1.107935905E-1
1.112542142E1,-1.146879047E-1
1.114625554E1,-1.212556213E-1
1.116708966E1,-1.277574003E-1
1.118792378E1,-1.323378086E-1
1.120875791E1,-1.337169111E-1
1.122959203E1,-1.316402704E-1
1.125042615E1,-1.287537962E-1
1.127126028E1,-1.239701807E-1
1.129209440E1,-1.196226180E-1
1.131292852E1,-1.146115735E-1
1.133376264E1,-1.077081114E-1
1.135459677E1,-9.918421507E-2
1.137543089E1,-8.572630584E-2
1.139626501E1,-6.938336790E-2
1.141709913E1,-5.059983581E-2
1.143793326E1,-3.019171581E-2
1.145876738E1,-1.093467604E-2
1.147960150E1,6.835815962E-3
1.150043562E1,2.262677625E-2
1.152126975E1,3.830407560E-2
1.154210387E1,5.430041254E-2
1.156293799E1,7.229919732E-2
1.158377211E1,9.273806214E-2
